,Unnamed: 0,text,date,user,location,Clean_Tweet
1400,1400,"😚 just 30hrs later &amp; booster side effects gone!! 
#boostershot #sideeffects #vaccinationdone✔️ #causeimhappy… https://t.co/upfT0IxyUW",2021-12-01 21:47:06,MPaige226914,"USA, Earth",😚 just hrs later & ; booster side effects gone !! ✔️ …
1401,1401,"First confirmed case of #OmicronVarient in the US.

If you are unvaxxed, it’s a great time to #GetVaccinatedNow. If… https://t.co/nStcKrevXA",2021-12-01 21:39:56,nickmmark,"Seattle, WA","First confirmed case of in the US . If you are , it ’ s a great time to . If …"
1402,1402,Looking to get my #boostershot,2021-12-01 21:34:00,charlieboyslim1,Richmond Va.,Looking to get my
1403,1403,"RT @elisha1022: Brandolini's law …is an internet adage that emphasizes the difficulty of debunking false, facetious, or otherwise misleadin…",2021-12-01 21:32:35,aerwaves_,"Evansville, IN",": ' s law … is an adage that the difficulty of false , facetious , or otherwise …"
1404,1404,COVID19 booster shot 💉 finally done ✅  #Vaccine #Vaccines #GetVaccinated #BoosterShot  #COVID19 #booster #StaySafe #StayHealthy,2021-12-01 21:30:12,CrystalSuicide,"Los Angeles, CA / Riyadh, SA",COVID booster shot 💉 finally done ✅ Vaccine COVID booster
1405,1405,Dark Angels &amp; Pretty Freaks #Podcast #351 “Naily Toes” #Married #Chatting #Life #Unedited #Thankful 4 everyone stil… https://t.co/gLLXGA08gA,2021-12-01 21:28:51,DAPFpodcast,"Napa, California",Dark & ; Pretty  “ Naily ” Married Chatting Life Unedited Thankful  everyone …
1406,1406,Dark Angels &amp; Pretty Freaks #Podcast #351 “Naily Toes” #Married #Chatting #Life #Unedited #Thankful 4 everyone stil… https://t.co/oWAIGwAv79,2021-12-01 21:28:46,OriginalNFV,"Napa, California",Dark & ; Pretty  “ Naily ” Married Chatting Life Unedited Thankful  everyone …
1407,1407,"I am ready for my booster shot 💉

#Moderna #BoosterShot #GetVaccinated https://t.co/KQmPJimWdf",2021-12-01 21:25:11,GreenShades9,"Miami, FL",I am ready for my booster shot 💉
1408,1408,"I got my #COVID19 #BoosterShot today #PostCovid 
#FullVideo on my #YoutubeChannel #JasonTheWorldisYours #LinkInBio… https://t.co/7GjbFxFzlx",2021-12-01 21:18:42,ColoredSpaces,"Las Vegas, NV",I got my COVID today on my …
1409,1409,The kids got their 2nd shot and I got my booster at Publix. #fullyvacinnated #covidvacccine #boostershot https://t.co/Pjx7cRJzHu,2021-12-01 21:14:38,abond429,"Oviedo, FL",The got their nd shot and I got my booster at .
